article_id,ticker,headline,summary,author,published_at,updated_at,source,url,content
5114288,AAL,CNBC's Biggest Pops & Drops of 2014,,Benzinga,2015-01-01T19:14:12Z,2015-01-01T19:14:12Z,,https://www.benzinga.com/node/5114288,
5114288,AAPL,CNBC's Biggest Pops & Drops of 2014,,Benzinga,2015-01-01T19:14:12Z,2015-01-01T19:14:12Z,,https://www.benzinga.com/node/5114288,
5114710,CHTR,"Nexstar Broadcasting, Charter Communications Reach New Distribution Agreement",,Benzinga,2015-01-01T23:27:50Z,2015-01-01T23:27:50Z,,https://www.benzinga.com/node/5114710,
5113793,HON,Analysts Generally Bullish On New Year's Eve: Here Are Some Trading Ideas For 2015,,Benzinga,2015-01-01T19:38:08Z,2015-01-01T19:38:08Z,,https://www.benzinga.com/node/5113793,
5114288,INTC,CNBC's Biggest Pops & Drops of 2014,,Benzinga,2015-01-01T19:14:12Z,2015-01-01T19:14:12Z,,https://www.benzinga.com/node/5114288,
5113793,MEOH,Analysts Generally Bullish On New Year's Eve: Here Are Some Trading Ideas For 2015,,Benzinga,2015-01-01T19:38:08Z,2015-01-01T19:38:08Z,,https://www.benzinga.com/node/5113793,
5114710,NXST,"Nexstar Broadcasting, Charter Communications Reach New Distribution Agreement",,Benzinga,2015-01-01T23:27:50Z,2015-01-01T23:27:50Z,,https://www.benzinga.com/node/5114710,
5114288,WYNN,CNBC's Biggest Pops & Drops of 2014,,Benzinga,2015-01-01T19:14:12Z,2015-01-01T19:14:12Z,,https://www.benzinga.com/node/5114288,
5115376,AAPL,"Argus Expects Apple To Report Strong Q1 Results, Sees Double Digit EPS Growth Through 2016",,Benzinga,2015-01-02T14:09:15Z,2015-01-02T14:09:15Z,,https://www.benzinga.com/node/5115376,
5115611,AAPL,Hearing Chatter of Overheating in Apple iPhone 6,,Benzinga,2015-01-02T15:12:32Z,2015-01-02T15:12:32Z,,https://www.benzinga.com/node/5115611,
5115509,AAPL,Study: Only Five Percent of U.S. iPhone Users Are Very Likely To Buy Apple watch,,Benzinga,2015-01-02T15:33:04Z,2015-01-02T15:57:04Z,,https://www.benzinga.com/node/5115509,
5114926,AAPL,Companies To Watch As Music Streaming Explodes,,Benzinga,2015-01-02T17:21:05Z,2015-01-02T17:23:51Z,,https://www.benzinga.com/node/5114926,
5115112,ALGN,"Baird Upgrades Align Technology to Outperform, Raises PT to $64.00",,Benzinga,2015-01-02T12:45:26Z,2015-01-02T12:45:26Z,,https://www.benzinga.com/node/5115112,
5115130,ALDX,"8-K from Aldeyra Therapeutics Shows Co. Submitted INDA for Phase 2 of NS2 for Sjogren-Larsson as of Dec. 30, 2014",,Benzinga,2015-01-02T12:55:12Z,2015-01-02T12:55:12Z,,https://www.benzinga.com/node/5115130,
5116190,AMAT,"Option Alert: Applied Materials Feb $27 Call; 6,680 Contract Trade at Ask @$.53; Currently $24.97",,Benzinga,2015-01-02T20:57:08Z,2015-01-02T20:57:08Z,,https://www.benzinga.com/node/5116190,
5115957,AMBA,Should Microchip Technology Be in Your Portfolio Now?,,Benzinga,2015-01-02T21:16:24Z,2015-01-02T21:16:24Z,,https://www.benzinga.com/node/5115957,
5114235,APC,Fast Money Picks For January 2,,Benzinga,2015-01-02T12:03:11Z,2015-01-02T12:03:11Z,,https://www.benzinga.com/node/5114235,
5115277,ARWR,Benzinga's Top #PreMarket Gainers,,Benzinga,2015-01-02T13:38:01Z,2015-01-02T13:38:01Z,,https://www.benzinga.com/node/5115277,
5115918,ARLP,"Alliance Resource Partners, L.P. Reports Purchase of Coal Supply Deals from Affiliate of Patriot Coal Corporation",,Benzinga,2015-01-02T17:47:53Z,2015-01-02T17:47:53Z,,https://www.benzinga.com/node/5115918,
5116240,APA,Fast Money Traders Debate On Exxon Mobil Corporation,,Benzinga,2015-01-02T21:20:43Z,2015-01-02T21:20:43Z,,https://www.benzinga.com/node/5116240,
5115957,AVGO,Should Microchip Technology Be in Your Portfolio Now?,,Benzinga,2015-01-02T21:16:24Z,2015-01-02T21:16:24Z,,https://www.benzinga.com/node/5115957,
5115176,BLDP,Ballard Terminates License Agreements with Azure and Provides Update on 2014 Guidance,,Benzinga,2015-01-02T13:02:01Z,2015-01-02T13:02:01Z,,https://www.benzinga.com/node/5115176,
5115186,BLDP,"UPDATE: Ballard Says Will Not Achieve '14 Sales, Adj. EBITDA Outlook",,Benzinga,2015-01-02T13:04:19Z,2015-01-02T13:04:19Z,,https://www.benzinga.com/node/5115186,
5115187,BLDP,UPDATE: Ballard Power Expecting $4.5M Impairment Charge,,Benzinga,2015-01-02T13:04:44Z,2015-01-02T13:04:44Z,,https://www.benzinga.com/node/5115187,
5115529,BLDP,Morning Market Losers,,Benzinga,2015-01-02T14:55:18Z,2015-01-02T14:55:18Z,,https://www.benzinga.com/node/5115529,
5115694,BLDP,Mid-Morning Market Update: Markets Open Higher; Rite Aid Posts Rise In December Sales,,Benzinga,2015-01-02T16:10:43Z,2015-01-02T16:10:43Z,,https://www.benzinga.com/node/5115694,
5116024,CCRN,Is it Time to Add Insperity (NSP) Stock to Your Portfolio?,,Benzinga,2015-01-02T21:15:50Z,2015-01-02T21:15:50Z,,https://www.benzinga.com/node/5116024,
5115210,CPSS,"UPDATE: Jefferies Reiterates Buy Rating, Raises PT on Consumer Portfolio Services on December Activity Review",,Benzinga,2015-01-02T13:39:11Z,2015-01-02T13:39:11Z,,https://www.benzinga.com/node/5115210,
5115618,DLTR,Judge in Family Dollar Case Has Rejected Appeal Related to Dollar Tree Vote,,Benzinga,2015-01-02T15:29:34Z,2015-01-02T15:29:34Z,,https://www.benzinga.com/node/5115618,
5114921,DRH,How To Invest In The US Housing Market Recovery,,Benzinga,2015-01-02T16:58:13Z,2015-01-02T16:58:13Z,,https://www.benzinga.com/node/5114921,
5115048,FBIZ,"Keefe, Bruyette & Woods Doesn't Expect Chief Accounting Officer's Resignation to Affect First Business Financial Services",,Benzinga,2015-01-02T12:31:04Z,2015-01-02T12:31:04Z,,https://www.benzinga.com/node/5115048,
5115184,EXAS,Exact Sciences Reports Added Update on CMS Reimbursement for Cologuard: to Establish Final Reimbursement Rate of $492.72,,Benzinga,2015-01-02T13:03:47Z,2015-01-02T13:03:47Z,,https://www.benzinga.com/node/5115184,
5115487,FSLR,Will Crude Trading Lower Consistently Really Impact Solar Power Industry ?,,Benzinga,2015-01-02T14:47:50Z,2015-01-02T15:15:04Z,,https://www.benzinga.com/node/5115487,
5115110,GLNG,"Global Hunter Upgrades Golar LNG to Speculative Buy, Lowers PT to $50.00",,Benzinga,2015-01-02T12:44:30Z,2015-01-02T12:44:30Z,,https://www.benzinga.com/node/5115110,
