fold,ablation,train_end_date,test_start_date,test_end_date,n_train,n_test,accuracy,f1,balanced_accuracy,threshold,roc_auc,train_pos_rate,test_pos_rate
1,numeric_only,2021-07-15,2021-07-16,2022-05-26,11515,1533,0.4911937377690802,0.6581945661700263,0.4992943071270724,0.2,0.5148348729752829,0.538949191570282,0.4918460547924042
1,news_only,2021-07-15,2021-07-16,2022-05-26,11515,1533,0.4918460534898891,0.6593790992566682,0.5,0.2,0.5050641337768955,0.538949191570282,0.4918460547924042
1,fusion,2021-07-15,2021-07-16,2022-05-26,11515,1533,0.49510763209393344,0.6605263157894737,0.5031879611690155,0.32500000000000007,0.5106441298951591,0.538949191570282,0.4918460547924042
2,numeric_only,2022-05-26,2022-05-27,2023-04-12,13048,1533,0.49706457925636005,0.6628771316134674,0.5019252177998387,0.275,0.5085094286307633,0.5334150791168213,0.49510762095451355
2,news_only,2022-05-26,2022-05-27,2023-04-12,13048,1533,0.49510763209393344,0.662303664921466,0.5,0.2,0.5029465535026708,0.5334150791168213,0.49510762095451355
2,fusion,2022-05-26,2022-05-27,2023-04-12,13048,1533,0.4957599478147423,0.6625927542557835,0.5006459948320413,0.25,0.4771884670772436,0.5334150791168213,0.49510762095451355
3,numeric_only,2023-04-12,2023-04-13,2024-02-26,14581,1533,0.5551206784083497,0.7129629629629629,0.5017461203066559,0.225,0.5179588645740776,0.5293875336647034,0.553816020488739
3,news_only,2023-04-12,2023-04-13,2024-02-26,14581,1533,0.5538160469667319,0.7128463476070529,0.5,0.2,0.496161634947203,0.5293875336647034,0.553816020488739
3,fusion,2023-04-12,2023-04-13,2024-02-26,14581,1533,0.5564253098499674,0.7138047138047138,0.5030660426094683,0.37500000000000006,0.49736187740651194,0.5293875336647034,0.553816020488739
4,numeric_only,2024-02-26,2024-02-27,2025-01-08,16114,1533,0.5609915198956295,0.718292172457095,0.4991701273508736,0.2,0.5288086832341521,0.5317115783691406,0.5622961521148682
4,news_only,2024-02-26,2024-02-27,2025-01-08,16114,1533,0.5622961513372472,0.7198329853862213,0.5,0.2,0.5154434113298363,0.5317115783691406,0.5622961521148682
4,fusion,2024-02-26,2024-02-27,2025-01-08,16114,1533,0.5622961513372472,0.7198329853862213,0.5,0.2,0.5103232699748618,0.5317115783691406,0.5622961521148682
5,numeric_only,2025-01-08,2025-01-10,2025-11-26,17647,1554,0.5456885456885456,0.7038590604026845,0.5057072829131652,0.275,0.5223972922502335,0.5343684554100037,0.5405405163764954
5,news_only,2025-01-08,2025-01-10,2025-11-26,17647,1554,0.5405405405405406,0.7017543859649122,0.5,0.2,0.4909388755502201,0.5343684554100037,0.5405405163764954
5,fusion,2025-01-08,2025-01-10,2025-11-26,17647,1554,0.5444015444015444,0.7030201342281879,0.5044117647058823,0.37500000000000006,0.5065242763772175,0.5343684554100037,0.5405405163764954
